title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,category
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Squat (Smith Machine),,,1.0,normal,20.0,14.0,,,,Quadriceps
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Squat (Smith Machine),,,2.0,normal,10.0,16.0,,,,Quadriceps
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Leg Press (Machine),,,0.0,normal,100.0,10.0,,,,Quadriceps
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Leg Press (Machine),,,1.0,normal,120.0,8.0,,,,Quadriceps
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Leg Press (Machine),,,2.0,normal,120.0,8.0,,,,Quadriceps
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Leg Curl,,,0.0,normal,10.0,20.0,,,,custom
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Leg Curl,,,1.0,normal,10.0,20.0,,,,custom
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Leg Curl,,,2.0,normal,10.0,20.0,,,,custom
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Glute,,,0.0,normal,30.0,20.0,,,,custom
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Glute,,,1.0,normal,32.5,16.0,,,,custom
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Glute,,,2.0,normal,32.5,16.0,,,,custom
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Calf Press (Machine),,,0.0,normal,60.0,10.0,,,,Calves
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Calf Press (Machine),,,1.0,normal,60.0,10.0,,,,Calves
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Calf Press (Machine),,,2.0,normal,60.0,10.0,,,,Calves
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Crunch (Machine),,,0.0,normal,45.0,12.0,,,,Abdominals
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Crunch (Machine),,,1.0,normal,45.0,12.0,,,,Abdominals
Lower,"8 May 2024, 19:03","8 May 2024, 20:03",,Crunch (Machine),,,2.0,normal,45.0,12.0,,,,Abdominals
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Push Up,,,0.0,warmup,,10.0,,,,Chest
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Iso-Lateral Chest Press (Machine),,,0.0,warmup,30.0,12.0,,,,Chest
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Iso-Lateral Chest Press (Machine),,,1.0,normal,50.0,10.0,,,,Chest
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Iso-Lateral Chest Press (Machine),,,2.0,normal,50.0,10.0,,,,Chest
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Iso-Lateral Chest Press (Machine),,,3.0,normal,50.0,10.0,,,,Chest
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Butterfly (Pec Deck),,,0.0,normal,47.5,8.0,,,,custom
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Butterfly (Pec Deck),,,1.0,normal,47.5,8.0,,,,custom
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Butterfly (Pec Deck),,,2.0,normal,47.5,8.0,,,,custom
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Chest Dip (Assisted),,,0.0,normal,,7.0,,,,custom
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Chest Dip (Assisted),,,1.0,normal,,6.0,,,,custom
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Chest Dip (Assisted),,,2.0,normal,15.0,8.0,,,,custom
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Shoulder Press (Dumbbell),,,0.0,normal,28.0,8.0,,,,Shoulders
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Shoulder Press (Dumbbell),,,1.0,normal,28.0,8.0,,,,Shoulders
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Shoulder Press (Dumbbell),,,2.0,normal,28.0,8.0,,,,Shoulders
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Triceps Pushdown,0.0,,0.0,normal,17.5,10.0,,,,Triceps
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Triceps Pushdown,0.0,,1.0,normal,17.5,10.0,,,,Triceps
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Triceps Pushdown,0.0,,2.0,normal,17.5,10.0,,,,Triceps
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Triceps Pushdown,0.0,,3.0,normal,5.0,10.0,,,,Triceps
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Face Pull,0.0,,0.0,normal,17.5,10.0,,,,Shoulders
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Face Pull,0.0,,1.0,normal,17.5,10.0,,,,Shoulders
Push,"7 May 2024, 14:10","7 May 2024, 15:07",,Face Pull,0.0,,2.0,normal,17.5,10.0,,,,Shoulders
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Pull Up (Assisted),,,0.0,normal,22.5,8.0,,,,Lats
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Pull Up (Assisted),,,1.0,normal,25.0,8.0,,,,Lats
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Pull Up (Assisted),,,2.0,normal,25.0,8.0,,,,Lats
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Seated Cable Row - Bar Grip,,,0.0,warmup,30.0,10.0,,,,Upper Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Seated Cable Row - Bar Grip,,,1.0,normal,60.0,8.0,,,,Upper Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Seated Cable Row - Bar Grip,,,2.0,normal,60.0,8.0,,,,Upper Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Seated Cable Row - Bar Grip,,,3.0,normal,60.0,8.0,,,,Upper Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Back Extension (Weighted Hyperextension),,,0.0,normal,10.0,12.0,,,,Lower Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Back Extension (Weighted Hyperextension),,,1.0,normal,10.0,9.0,,,,Lower Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Back Extension (Weighted Hyperextension),,,2.0,normal,10.0,8.0,,,,Lower Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Latzug,,,0.0,normal,60.0,8.0,,,,custom
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Latzug,,,1.0,normal,50.0,8.0,,,,custom
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Latzug,,,2.0,normal,50.0,6.0,,,,custom
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,EZ Bar Biceps Curl,,,0.0,normal,20.0,8.0,,,,Biceps
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,EZ Bar Biceps Curl,,,1.0,normal,20.0,8.0,,,,Biceps
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,EZ Bar Biceps Curl,,,2.0,normal,20.0,8.0,,,,Biceps
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Rear Delt Reverse Fly (Machine),,,0.0,normal,35.0,8.0,,,,Upper Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Rear Delt Reverse Fly (Machine),,,1.0,normal,32.5,8.0,,,,Upper Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Rear Delt Reverse Fly (Machine),,,2.0,normal,32.5,8.0,,,,Upper Back
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Rope Cable Curl,,,0.0,normal,10.0,10.0,,,,Biceps
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Rope Cable Curl,,,1.0,normal,10.0,10.0,,,,Biceps
Pulling,"2 May 2024, 15:37","2 May 2024, 16:36",,Rope Cable Curl,,,2.0,normal,10.0,10.0,,,,Biceps
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Push Up,,,0.0,warmup,,10.0,,,,Chest
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Iso-Lateral Chest Press (Machine),,,0.0,warmup,20.0,10.0,,,,Chest
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Iso-Lateral Chest Press (Machine),,,1.0,normal,50.0,8.0,,,,Chest
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Iso-Lateral Chest Press (Machine),,,2.0,normal,50.0,8.0,,,,Chest
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Iso-Lateral Chest Press (Machine),,,3.0,normal,50.0,8.0,,,,Chest
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Butterfly (Pec Deck),,,0.0,normal,45.0,10.0,,,,custom
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Butterfly (Pec Deck),,,1.0,normal,45.0,10.0,,,,custom
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Butterfly (Pec Deck),,,2.0,normal,45.0,10.0,,,,custom
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Chest Dip (Assisted),,,0.0,normal,,7.0,,,,custom
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Chest Dip (Assisted),,,1.0,normal,,7.0,,,,custom
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Lateral Raise (Machine),0.0,,0.0,normal,25.0,10.0,,,,Shoulders
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Lateral Raise (Machine),0.0,,1.0,normal,25.0,10.0,,,,Shoulders
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Lateral Raise (Machine),0.0,,2.0,normal,25.0,10.0,,,,Shoulders
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Triceps Pushdown,,,0.0,normal,10.0,10.0,,,,Triceps
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Triceps Pushdown,,,1.0,normal,12.5,10.0,,,,Triceps
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Triceps Pushdown,,,2.0,normal,12.5,8.0,,,,Triceps
Push,"30 Apr 2024, 14:35","30 Apr 2024, 15:51",,Face Pull,,,2.0,normal,15.0,8.0,,,,Shoulders
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Squat (Smith Machine),,,0.0,normal,20.0,16.0,,,,Quadriceps
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Squat (Smith Machine),,,1.0,normal,20.0,16.0,,,,Quadriceps
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Squat (Smith Machine),,,2.0,normal,10.0,16.0,,,,Quadriceps
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Press (Machine),,,0.0,normal,100.0,10.0,,,,Quadriceps
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Press (Machine),,,1.0,normal,120.0,8.0,,,,Quadriceps
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Press (Machine),,,2.0,normal,120.0,8.0,,,,Quadriceps
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Curl,,,0.0,normal,10.0,20.0,,,,custom
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Curl,,,1.0,normal,10.0,20.0,,,,custom
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Curl,,,2.0,normal,10.0,20.0,,,,custom
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Glute,,,0.0,normal,30.0,20.0,,,,custom
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Glute,,,1.0,normal,32.5,16.0,,,,custom
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Glute,,,2.0,normal,32.5,16.0,,,,custom
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Calf Press (Machine),,,0.0,normal,60.0,10.0,,,,Calves
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Calf Press (Machine),,,1.0,normal,60.0,10.0,,,,Calves
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Calf Press (Machine),,,2.0,normal,60.0,10.0,,,,Calves
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Raise Parallel Bars,,,0.0,normal,,8.0,,,,Abdominals
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Raise Parallel Bars,,,1.0,normal,,8.0,,,,Abdominals
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Leg Raise Parallel Bars,,,2.0,normal,,8.0,,,,Abdominals
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Crunch (Machine),,,0.0,normal,45.0,12.0,,,,Abdominals
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Crunch (Machine),,,1.0,normal,45.0,12.0,,,,Abdominals
Lower,"29 Apr 2024, 13:19","29 Apr 2024, 14:26",,Crunch (Machine),,,2.0,normal,45.0,12.0,,,,Abdominals
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Incline Bench Press (Dumbbell),,,0.0,warmup,28.0,10.0,,,,Chest
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Incline Bench Press (Dumbbell),,,1.0,normal,40.0,8.0,,,,Chest
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Incline Bench Press (Dumbbell),,,2.0,normal,40.0,8.0,,,,Chest
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Incline Bench Press (Dumbbell),,,3.0,normal,40.0,8.0,,,,Chest
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Iso-Lateral Row (Machine),,,0.0,warmup,40.0,12.0,,,,Lats
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Iso-Lateral Row (Machine),,,1.0,normal,90.0,8.0,,,,Lats
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Iso-Lateral Row (Machine),,,2.0,normal,90.0,8.0,,,,Lats
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Iso-Lateral Row (Machine),,,3.0,normal,90.0,8.0,,,,Lats
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Chest Press (Machine),,,0.0,normal,35.0,10.0,,,,custom
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Chest Press (Machine),,,1.0,normal,35.0,10.0,,,,custom
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Chest Press (Machine),,,2.0,normal,35.0,10.0,,,,custom
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Lat Pulldown - Close Grip (Cable),,Breiter griff aber das andere breite,0.0,normal,57.0,8.0,,,,Lats
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Lat Pulldown - Close Grip (Cable),,Breiter griff aber das andere breite,1.0,normal,57.0,7.0,,,,Lats
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Lat Pulldown - Close Grip (Cable),,Breiter griff aber das andere breite,2.0,normal,47.0,10.0,,,,Lats
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Lateral Raise (Machine),,,0.0,normal,20.0,10.0,,,,Shoulders
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Lateral Raise (Machine),,,1.0,normal,20.0,8.0,,,,Shoulders
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Lateral Raise (Machine),,,2.0,normal,20.0,8.0,,,,Shoulders
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,EZ Bar Biceps Curl,0.0,,0.0,normal,20.0,10.0,,,,Biceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,EZ Bar Biceps Curl,0.0,,1.0,normal,20.0,8.0,,,,Biceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,EZ Bar Biceps Curl,0.0,,2.0,normal,20.0,8.0,,,,Biceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Hammer Curl (Dumbbell),0.0,,0.0,normal,6.0,16.0,,,,Biceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Hammer Curl (Dumbbell),0.0,,1.0,normal,6.0,16.0,,,,Biceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Hammer Curl (Dumbbell),0.0,,2.0,normal,6.0,16.0,,,,Biceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Triceps Rope Pushdown,,,0.0,normal,12.5,10.0,,,,Triceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Triceps Rope Pushdown,,,1.0,normal,12.5,10.0,,,,Triceps
Upper,"27 Apr 2024, 12:30","27 Apr 2024, 13:35",,Triceps Rope Pushdown,,,2.0,normal,12.5,10.0,,,,Triceps
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Lat Pulldown (Cable),,,0.0,normal,42.0,10.0,,,,Lats
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Lat Pulldown (Cable),,,1.0,normal,49.0,8.0,,,,Lats
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Lat Pulldown (Cable),,,2.0,normal,49.0,8.0,,,,Lats
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Lat Pulldown (Machine),,,0.0,normal,20.0,10.0,,,,Lats
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Lat Pulldown (Machine),,,1.0,normal,20.0,10.0,,,,Lats
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Lat Pulldown (Machine),,,2.0,normal,25.0,8.0,,,,Lats
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Rear Delt Reverse Fly (Machine),,,0.0,normal,30.0,8.0,,,,Upper Back
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Rear Delt Reverse Fly (Machine),,,1.0,normal,30.0,8.0,,,,Upper Back
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Rear Delt Reverse Fly (Machine),,,2.0,normal,32.5,8.0,,,,Upper Back
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Preacher Curl (Dumbbell),,,0.0,normal,10.0,10.0,,,,Biceps
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Preacher Curl (Dumbbell),,,1.0,normal,10.0,10.0,,,,Biceps
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Preacher Curl (Dumbbell),,,2.0,normal,10.0,10.0,,,,Biceps
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Seated Incline Curl (Dumbbell),,,0.0,normal,7.0,10.0,,,,Biceps
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Seated Incline Curl (Dumbbell),,,1.0,normal,7.0,10.0,,,,Biceps
Pulling it out,"24 Apr 2024, 15:44","24 Apr 2024, 16:48",,Seated Incline Curl (Dumbbell),,,2.0,normal,7.0,10.0,,,,Biceps
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Push Up,,,0.0,warmup,,10.0,,,,Chest
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Iso-Lateral Chest Press (Machine),,,0.0,warmup,30.0,10.0,,,,Chest
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Iso-Lateral Chest Press (Machine),,,1.0,normal,40.0,10.0,,,,Chest
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Iso-Lateral Chest Press (Machine),,,2.0,normal,40.0,10.0,,,,Chest
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Iso-Lateral Chest Press (Machine),,,3.0,normal,40.0,10.0,,,,Chest
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Iso-Lateral Chest Press (Machine),,,4.0,normal,50.0,8.0,,,,Chest
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Butterfly (Pec Deck),,,0.0,normal,45.0,8.0,,,,custom
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Butterfly (Pec Deck),,,1.0,normal,45.0,8.0,,,,custom
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Butterfly (Pec Deck),,,2.0,normal,45.0,8.0,,,,custom
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Chest Dip (Assisted),,,0.0,normal,,8.0,,,,custom
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Chest Dip (Assisted),,,1.0,normal,,6.0,,,,custom
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Chest Dip (Assisted),,,2.0,normal,15.0,8.0,,,,custom
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Shoulder Press (Dumbbell),0.0,,0.0,normal,28.0,8.0,,,,Shoulders
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Shoulder Press (Dumbbell),0.0,,1.0,normal,28.0,8.0,,,,Shoulders
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Shoulder Press (Dumbbell),0.0,,2.0,normal,28.0,8.0,,,,Shoulders
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Triceps Pushdown,,,0.0,normal,20.0,8.0,,,,Triceps
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Triceps Pushdown,,,1.0,normal,20.0,8.0,,,,Triceps
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Triceps Pushdown,,,2.0,normal,15.0,8.0,,,,Triceps
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Face Pull,,,0.0,normal,15.0,8.0,,,,Shoulders
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Face Pull,,,1.0,normal,15.0,8.0,,,,Shoulders
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Face Pull,,,2.0,normal,15.0,8.0,,,,Shoulders
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Triceps Extension (Cable),0.0,,0.0,normal,5.0,16.0,,,,Triceps
Push,"22 Apr 2024, 19:01","22 Apr 2024, 20:11",,Triceps Extension (Cable),0.0,,1.0,normal,5.0,16.0,,,,Triceps
Upper,"19 Apr 2024, 13:38","19 Apr 2024, 14:24",Fastupper musste coden gehen,Incline Bench Press (Dumbbell),,,0.0,warmup,28.0,10.0,,,,Chest
Upper,"19 Apr 2024, 13:38","19 Apr 2024, 14:24",Fastupper musste coden gehen,Incline Bench Press (Dumbbell),,,1.0,normal,36.0,10.0,,,,Chest
